,energy_list,real_Ni,imag_Ni,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
26,852.3,-0.0009770520185591659,0.0024604400716190995,0.003745744604595336,0.0038050165244769276,0.0002490982597590598,0.00023277395586330138,0.0012577495798458975,0.001280306817230899,0.00022480311333007084,0.00025414315479218896,0.0001593711783166136,0.00014520348297416175,0.0002451466702923978,0.0002850443449663576,3.410566669515645e-05,4.296483147243921e-05,8.739602145671729e-05,8.028951054789966e-05
27,852.4,-0.0010894352537395087,0.0022827567317505212,0.0035236971710516565,0.0035434048705576624,0.00023023784765017813,0.00021845602526645742,0.0011401200865566877,0.0011934718902054727,0.00022529948773874039,0.00023834591010453478,0.00013949760930390275,0.0001369477466090675,0.0002305367210303599,0.00026710792013444194,3.891400699926079e-05,4.1786715484937853e-05,7.093559664280641e-05,7.652753898981557e-05
28,852.5,-0.0011145414331602541,0.002155079906781047,0.003423138953982293,0.0033004547897876693,0.00020416841480487875,0.00020515943720224262,0.0010543656803023705,0.0011128311686686783,0.00022632628110959112,0.0002236755320257611,0.00013314192924061168,0.0001292809176025341,0.00021100158125543077,0.00025045095628609723,4.199220159734497e-05,4.069263817594991e-05,6.982587069724234e-05,7.303392056648262e-05
29,852.6,-0.001065905157579017,0.002079790461169629,0.0032270651656896763,0.003073820474317825,0.000195562243130295,0.00019275580628157327,0.0010130980380807823,0.0010376060250236842,0.0001995260642988686,0.00020999037051838807,0.00013088591918125278,0.00012212896878155367,0.00022142211388414193,0.00023491262187760024,4.50019884320533e-05,3.967203566695829e-05,7.294635895863993e-05,6.97749225971241e-05
30,852.7,-0.0009578851482459504,0.00204953240735117,0.003240350168055302,0.002866148516404358,0.00017796405750880798,0.00018138997973764806,0.0010077176791747874,0.0009686749241324045,0.0002276525786321336,0.00019745023828507516,0.00013952929097060883,0.00011557541923866659,0.00021059128478206256,0.00022067437061085342,4.2021449257567017e-05,3.87368263591609e-05,6.96272886309836e-05,6.678860303766285e-05
31,852.8,-0.0008044795256754789,0.002051431370408482,0.003138364830927224,0.0026827860598349915,0.00016813025185468793,0.00017135460521248557,0.0009845328906637049,0.0009078127060436131,0.00019431822740592115,0.0001863780190258767,0.000111226804250473,0.00010978900996364291,0.0001827128898830132,0.00020810280940560671,4.146830643384828e-05,3.7911090049804585e-05,7.404967315368538e-05,6.415185373349287e-05
32,852.9,-0.0006185847379560548,0.002070950807792284,0.0029010675912805677,0.002527749160996883,0.00018200680488397888,0.00016286948031740358,0.0008654035604814126,0.0008563523922725379,0.00021387509486328547,0.00017701621961874292,0.00010929916427405322,0.00010489647652908807,0.00019236718197241875,0.00019747328415119572,4.7513938747575514e-05,3.721291224909326e-05,6.505815917940501e-05,6.192242551366855e-05
33,853.0,-0.00041161859706316994,0.002094607371714227,0.0023523439971073323,0.0024011054921633077,0.00012448594136062001,0.00015593830873646014,0.0007395882252107918,0.0008143164448036624,0.00017236658220444947,0.00016936892640861842,0.00010498080734566627,0.00010089995448377827,0.00014182685066701153,0.00018879043454399713,4.300360312167785e-05,3.664259770563371e-05,5.22888966253164e-05,6.010129150443837e-05
34,853.1,-0.00019339976837485812,0.002111446271819053,0.0026383286538836535,0.002298703401259969,0.00014010017757475022,0.00015033387174536882,0.0008385992389299548,0.0007803268347934504,0.00018241154550193691,0.00016318544466270714,0.00011059819347550768,9.766842923225693e-05,0.00016782272907904142,0.00018176961808340648,3.805061208824931e-05,3.618145028104681e-05,4.870294358103342e-05,5.862875101285314e-05
35,853.2,2.781925295072048e-05,0.002113576519145053,0.0024488339608226993,0.0022136021614282487,0.00012477609972870606,0.00014567630535885007,0.0007228615128735147,0.0007520797753071736,0.0001522999497395709,0.00015804666323342376,8.21295514210741e-05,9.49828707341246e-05,0.0001454745429203973,0.00017593496978514852,3.903370404386775e-05,3.57982137940634e-05,5.2032410283405034e-05,5.740499649347908e-05
